time (msec),x axis,y axis,z axis
9970,5240,-16232,-1952
9980,5228,-16268,-1972
9990,5160,-16240,-1988
10000,5020,-16248,-1968
10010,4892,-16072,-1848
10020,4900,-16024,-1696
10030,4956,-15996,-1952
10040,4992,-16120,-1924
10050,5012,-16140,-2068
10060,5032,-16452,-2220
10070,4856,-16456,-2036
10080,4768,-16356,-2076
10090,4784,-16356,-2036
10100,4920,-16724,-1596
10110,5000,-16208,-1908
10120,5032,-16520,-2036
10130,4972,-16468,-1756
10140,4860,-16348,-1900
10150,4712,-16544,-1836
10160,4632,-16464,-1836
10170,4576,-16720,-1300
10180,4440,-16204,-1860
10190,4692,-16644,-1756
10200,4872,-16656,-1828
10210,4988,-17080,-1380
10220,5048,-16708,-1788
10230,5364,-16748,-1204
10240,5280,-16936,-1524
10250,5312,-17160,-1056
10260,5476,-16984,-824
10270,5316,-16452,-1272
10280,5404,-16548,-1024
10290,5332,-16852,-904
10300,5332,-16964,-364
10310,5288,-17084,-584
10320,5056,-16748,-232
10330,4820,-16312,-280
10340,5368,-16564,-232
10350,5036,-16008,-324
10360,4600,-16296,-88
10370,4672,-16188,40
10380,4536,-16504,204
10390,4324,-16048,-8
10400,3952,-16132,368
10410,3716,-15364,892
10420,3556,-15584,288
10430,3592,-15920,1028
10440,3768,-15660,944
10450,3288,-15828,1336
10460,2960,-15632,1300
10470,2780,-15128,936
10480,2392,-15884,1600
10490,1760,-15048,1440
10500,2340,-14684,1184
10510,2336,-13712,1220
10520,1712,-15112,1332
10530,2272,-14828,1432
10540,2196,-14276,1072
10550,1660,-14288,1316
10560,1688,-15204,888
10570,1860,-14932,1160
10580,2272,-14108,1732
10590,2292,-14468,2216
10600,2156,-15080,1896
